sourceName,sourceVersion,device,creationDate,startDate,endDate,workoutActivityType,duration,durationUnit,totalDistance,totalDistanceUnit,totalEnergyBurned,totalEnergyBurnedUnit
"Strava","18214",,2019-09-26 02:15:29 +0100,2019-09-24 09:43:38 +0100,2019-09-24 09:58:44 +0100,"HKWorkoutActivityTypeRunning",14.96666666666667,"min",3.3151,"km",0,"kcal"
"Strava","18214",,2019-09-26 10:41:58 +0100,2019-09-26 09:36:12 +0100,2019-09-26 10:27:11 +0100,"HKWorkoutActivityTypeRunning",48.1,"min",10.2265,"km",0,"kcal"
"Golfshot","3329","<<HKDevice: 0x282f7d450>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:5.3.1>",2019-09-28 13:44:25 +0100,2019-09-28 09:13:13 +0100,2019-09-28 13:44:19 +0100,"HKWorkoutActivityTypeGolf",271.0949606001377,"min",10.26729807217844,"km",986.4349999999506,"kcal"
"Golfshot","3329","<<HKDevice: 0x282f7d4a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:5.3.1>",2019-09-29 17:10:39 +0100,2019-09-29 16:18:03 +0100,2019-09-29 17:10:38 +0100,"HKWorkoutActivityTypeGolf",52.58215585152308,"min",2.171117470141209,"km",210.9209999999967,"kcal"
"Filips Apple Watch","5.3.1","<<HKDevice: 0x282f7d5e0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:5.3.1>",2019-09-30 17:58:23 +0100,2019-09-30 16:21:51 +0100,2019-09-30 17:58:16 +0100,"HKWorkoutActivityTypeOther",96.29998880028725,"min",0,"km",915.6617847965938,"kcal"
"Filips Apple Watch","5.3.1","<<HKDevice: 0x282f7d720>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:5.3.1>",2019-10-03 15:15:15 +0100,2019-10-03 10:14:27 +0100,2019-10-03 15:14:46 +0100,"HKWorkoutActivityTypeWalking",232.4278297861417,"min",16.54476952024509,"km",1331.429030132587,"kcal"
"Filips Apple Watch","5.3.1","<<HKDevice: 0x282f7d860>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:5.3.1>",2019-10-03 16:31:10 +0100,2019-10-03 15:54:55 +0100,2019-10-03 16:31:06 +0100,"HKWorkoutActivityTypeWalking",36.12706376711527,"min",3.542050498554017,"km",223.5982262840842,"kcal"
"Strava","18518",,2019-10-05 00:48:28 +0100,2019-10-04 07:02:04 +0100,2019-10-04 07:28:17 +0100,"HKWorkoutActivityTypeRunning",26.15,"min",5.5443,"km",0,"kcal"
"Strava","18518",,2019-10-06 12:18:48 +0100,2019-10-04 22:59:37 +0100,2019-10-05 00:25:29 +0100,"HKWorkoutActivityTypeCycling",31.41666666666667,"min",3.7605,"km",0,"kcal"
"Strava","18518",,2019-10-08 17:41:11 +0100,2019-10-08 16:26:05 +0100,2019-10-08 17:17:47 +0100,"HKWorkoutActivityTypeRunning",46.66666666666666,"min",9.5769,"km",0,"kcal"
