Bicicletta;Tipo_bici;Cliente;Data_riferimento_prelievo;Data_prelievo;Ora_prelievo;Giorno_prelievo;Mese_prelievo;Anno_prelievo;GMA_prelievo;Gio_settimana_prelievo;Festivo_feriale_prelievo;Fascia_oraria_prelievo;Stazione_prelievo;Nome_stazione_prelievo;Slot_prelievo;Data_riferimento_arrivo;Data_arrivo;Ora_arrivo;Giorno_arrivo;Mese_arrivo;Anno_arrivo;GMA_arrivo;Gio_settimana_arrivo;Festivo_feriale_arrivo;Fascia_oraria_arrivo;Stazione_arrivo;Nome_stazione_arrivo;Slot_arrivo;Durata_noleggio;Durata_sec;Distanza_totale;Co2_evitata;Calorie_consumate;Temp_min_GP;Temp_max_GP;Temp_media_GP;Precipitazioni_GP;Press_atm_GP;Temp_min_GA;Temp_max_GA;Temp_media_GA;Precipitazioni_GA;Press_atm_GA;Pm10_GP;Pm25_GP;No2_mean_GP;Co_mean_GP;Pm10_GA;Pm25_GA;No2_mean_GA;Co_mean_GA
6732;Bike;224621;01/01/18;01/01/18 08:44;8;1;1;2018;112018;2;1;9;172;Napoli - Washington;30;01/01/18;01/01/18 08:52;8;1;1;2018;112018;2;1;9;173;Vercelli - Cherubini;1;00:07:59;479;1448.35;0.2937;27.9;2;5;3;Yes;1012;2;5;3;Yes;1012;39;38;40.1;0.9;39;38;40.1;0.9
10159;eBike;246086;01/01/18;01/01/18 08:50;8;1;1;2018;112018;2;1;9;162;Piola;36;01/01/18;01/01/18 09:19;9;1;1;2018;112018;2;1;10;280;Murat - Villani - Milano Sport;13;00:28:27;1707;4310.14;0.8741;83.02;2;5;3;Yes;1012;2;5;3;Yes;1012;39;38;40.1;0.9;39;38;40.1;0.9
1339;Bike;352401;01/01/18;01/01/18 09:02;9;1;1;2018;112018;2;1;10;165;Savona - Tolstoj;11;01/01/18;01/01/18 09:13;9;1;1;2018;112018;2;1;10;161;Coni Zugna Solari;27;00:10:59;659;1991.84;0.4039;38.37;2;5;3;Yes;1012;2;5;3;Yes;1012;39;38;40.1;0.9;39;38;40.1;0.9
8679;Bike;289672;01/01/18;01/01/18 09:08;9;1;1;2018;112018;2;1;10;102;Arcivescovado;3;01/01/18;01/01/18 09:12;9;1;1;2018;112018;2;1;10;45;Cantù;8;00:04:36;276;697.67;0.1415;13.44;2;5;3;Yes;1012;2;5;3;Yes;1012;39;38;40.1;0.9;39;38;40.1;0.9
8305;Bike;262657;01/01/18;01/01/18 09:18;9;1;1;2018;112018;2;1;10;283;Reni - Guardi;24;01/01/18;01/01/18 09:39;9;1;1;2018;112018;2;1;10;100;Palazzo Marino;2;00:20:21;1221;3846.46;0.7801;74.09;2;5;3;Yes;1012;2;5;3;Yes;1012;39;38;40.1;0.9;39;38;40.1;0.9
7272;Bike;162598;01/01/18;01/01/18 09:22;9;1;1;2018;112018;2;1;10;157;Roncaglia - Washington;28;01/01/18;01/01/18 09:51;9;1;1;2018;112018;2;1;10;157;Roncaglia - Washington;26;00:28:31;1711;0;0;0;2;5;3;Yes;1012;2;5;3;Yes;1012;39;38;40.1;0.9;39;38;40.1;0.9
1767;Bike;275437;01/01/18;01/01/18 09:24;9;1;1;2018;112018;2;1;10;34;Cairoli;3;01/01/18;01/01/18 09:27;9;1;1;2018;112018;2;1;10;94;Cadorna 3;26;00:03:18;198;673.9;0.1367;12.98;2;5;3;Yes;1012;2;5;3;Yes;1012;39;38;40.1;0.9;39;38;40.1;0.9
8303;Bike;48723;01/01/18;01/01/18 09:28;9;1;1;2018;112018;2;1;10;69;S. Nazaro in Brolo;9;01/01/18;01/01/18 09:33;9;1;1;2018;112018;2;1;10;1;Duomo;23;00:05:33;333;815.32;0.1653;15.71;2;5;3;Yes;1012;2;5;3;Yes;1012;39;38;40.1;0.9;39;38;40.1;0.9
1814;Bike;272990;01/01/18;01/01/18 09:28;9;1;1;2018;112018;2;1;10;129;Fiamma;14;01/01/18;01/01/18 09:49;9;1;1;2018;112018;2;1;10;139;Lazio - Vasari - Morosini;20;00:20:38;1238;1057.43;0.2144;20.37;2;5;3;Yes;1012;2;5;3;Yes;1012;39;38;40.1;0.9;39;38;40.1;0.9
6450;Bike;227224;01/01/18;01/01/18 09:30;9;1;1;2018;112018;2;1;10;186;Procaccini - Gramsci;5;01/01/18;01/01/18 09:47;9;1;1;2018;112018;2;1;10;255;Nigra - Castellini;19;00:16:15;975;1583.4;0.3211;30.5;2;5;3;Yes;1012;2;5;3;Yes;1012;39;38;40.1;0.9;39;38;40.1;0.9
10496;eBike;51461;01/01/18;01/01/18 09:40;9;1;1;2018;112018;2;1;10;185;Santissima Trinit_;19;01/01/18;01/01/18 09:46;9;1;1;2018;112018;2;1;10;263;Castello;33;00:06:26;386;1075.12;0.218;20.71;2;5;3;Yes;1012;2;5;3;Yes;1012;39;38;40.1;0.9;39;38;40.1;0.9
6674;Bike;290972;01/01/18;01/01/18 09:46;9;1;1;2018;112018;2;1;10;179;Giovanni XXIII;14;01/01/18;01/01/18 09:55;9;1;1;2018;112018;2;1;10;188;Sarpi Niccolini;24;00:08:55;535;1712.7;0.3473;32.99;2;5;3;Yes;1012;2;5;3;Yes;1012;39;38;40.1;0.9;39;38;40.1;0.9
6043;Bike;350259;01/01/18;01/01/18 09:47;9;1;1;2018;112018;2;1;10;229;QT8 - Isernia;1;01/01/18;01/01/18 09:51;9;1;1;2018;112018;2;1;10;226;Lotto;3;00:03:34;214;1028.35;0.2085;19.81;2;5;3;Yes;1012;2;5;3;Yes;1012;39;38;40.1;0.9;39;38;40.1;0.9
6938;Bike;264288;01/01/18;01/01/18 10:00;10;1;1;2018;112018;2;1;11;222;Durante - D'aviano;28;01/01/18;01/01/18 10:17;10;1;1;2018;112018;2;1;11;1;Duomo;12;00:16:58;1018;4551.96;0.9231;87.68;2;5;3;Yes;1012;2;5;3;Yes;1012;39;38;40.1;0.9;39;38;40.1;0.9
6791;Bike;147892;01/01/18;01/01/18 10:05;10;1;1;2018;112018;2;1;11;261;Imbonati - Dergano M3;5;01/01/18;01/01/18 10:11;10;1;1;2018;112018;2;1;11;254;Bausan - Brofferio;10;00:06:05;365;1680.34;0.3408;32.37;2;5;3;Yes;1012;2;5;3;Yes;1012;39;38;40.1;0.9;39;38;40.1;0.9
